33,11
33,12
33,13
33,14
33,15
33,16
33,17
33,18
33,19
33,20
33,21
33,22
33,23
32,23
31,23
31,24
31,25
32,25
33,25
33,26
33,27
33,28
33,29
34,29
35,29
35,30
35,31
34,31
33,31
32,31
31,31
31,30
31,29
31,28
31,27
30,27
29,27
29,28
29,29
29,30
29,31
28,31
27,31
27,30
27,29
27,28
27,27
27,26
27,25
28,25
29,25
29,24
29,23
29,22
29,21
30,21
31,21
31,20
31,19
31,18
31,17
31,16
31,15
31,14
31,13
30,13
29,13
29,14
29,15
29,16
29,17
29,18
29,19
28,19
27,19
27,18
27,17
27,16
27,15
27,14
27,13
27,12
27,11
28,11
29,11
30,11
31,11
31,10
31,9
31,8
31,7
32,7
33,7
33,8
33,9
34,9
35,9
35,8
35,7
35,6
35,5
36,5
37,5
37,4
37,3
36,3
35,3
35,2
35,1
34,1
33,1
33,2
33,3
33,4
33,5
32,5
31,5
31,4
31,3
31,2
31,1
30,1
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
28,9
27,9
27,8
27,7
26,7
25,7
25,6
25,5
25,4
25,3
26,3
27,3
27,2
27,1
26,1
25,1
24,1
23,1
23,2
23,3
23,4
23,5
22,5
21,5
21,4
21,3
21,2
21,1
20,1
19,1
18,1
17,1
16,1
15,1
14,1
13,1
13,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
19,4
19,5
19,6
19,7
20,7
21,7
22,7
23,7
23,8
23,9
24,9
25,9
25,10
25,11
24,11
23,11
22,11
21,11
21,12
21,13
22,13
23,13
24,13
25,13
25,14
25,15
24,15
23,15
22,15
21,15
20,15
19,15
19,14
19,13
19,12
19,11
19,10
19,9
18,9
17,9
17,8
17,7
17,6
17,5
16,5
15,5
15,6
15,7
15,8
15,9
15,10
15,11
16,11
17,11
17,12
17,13
16,13
15,13
14,13
13,13
13,12
13,11
13,10
13,9
13,8
13,7
12,7
11,7
11,8
11,9
11,10
11,11
10,11
9,11
9,10
9,9
9,8
9,7
9,6
9,5
10,5
11,5
11,4
11,3
11,2
11,1
10,1
9,1
9,2
9,3
8,3
7,3
7,4
7,5
7,6
7,7
6,7
5,7
5,6
5,5
5,4
5,3
5,2
5,1
4,1
3,1
2,1
1,1
1,2
1,3
2,3
3,3
3,4
3,5
2,5
1,5
1,6
1,7
2,7
3,7
3,8
3,9
4,9
5,9
6,9
7,9
7,10
7,11
6,11
5,11
4,11
3,11
2,11
1,11
1,12
1,13
1,14
1,15
1,16
1,17
2,17
3,17
3,16
3,15
3,14
3,13
4,13
5,13
6,13
7,13
7,14
7,15
6,15
5,15
5,16
5,17
6,17
7,17
8,17
9,17
9,16
9,15
9,14
9,13
10,13
11,13
11,14
11,15
12,15
13,15
13,16
13,17
14,17
15,17
15,16
15,15
16,15
17,15
17,16
17,17
17,18
17,19
16,19
15,19
15,20
15,21
16,21
